startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,The evolution of Basketball in the Basque Country,"<p class=""lead"">  How has a sport created in America impacted the Basque Country? </p>",,,,,title,,,
1958,,,,,,,,,Club Atlético San Sebastian is founded,"<p> The club was founded in 1958 by Josean Gasca together with a group of basketball players, some athletes and swimmers. Others were added to the first three sports sections of the club until reaching the current 12. One of the peculiarities of the club is its strong sports character and the fact that it does not have or has ever had a football section. </p>",https://atleticosansebastian.com/historia/,,,,,,,
